Symbol,marketCap
RELIANCE,174889554.79
TCS,137248531.91
HDFCBANK,129740454.00
ICICIBANK,69902440.89
INFY,64037070.70
HINDUNILVR,62591936.42
BHARTIARTL,58028012.50
ITC,57649787.67
SBIN,57300470.92
LICI,52655605.86
LT,48466573.59
BAJFINANCE,45287186.02
HCLTECH,39785043.97
KOTAKBANK,37924093.15
AXISBANK,33991569.44
ASIANPAINT,32635745.61
TITAN,32630136.42
ADANIENT,32478061.94
MARUTI,32390853.58
ULTRACEMCO,30320905.71
SUNPHARMA,30218424.28
NTPC,30171176.68
BAJAJFINSV,26896750.41
DMART,26567153.60
TATAMOTORS,25916546.07
ONGC,25795862.51
NESTLEIND,25627586.56
ADANIGREEN,25296998.67
WIPRO,24621822.53
COALINDIA,23171858.51
ADANIPORTS,22127383.28
POWERGRID,22061032.26
JSWSTEEL,21526108.54
M&M,21505587.60
ADANIPOWER,20254714.85
BAJAJ-AUTO,19233319.02
HAL,18752451.00
LTIM,18627749.32
IOC,18336428.04
DLF,17980688.42
TATASTEEL,17167076.78
VBL,16069990.04
JIOFIN,14799975.52
SBILIFE,14343767.15
SIEMENS,14332771.90
GRASIM,14056564.79
HDFCLIFE,13908315.74
HINDALCO,13817010.79
PIDILITIND,13809215.54
BEL,13464612.60
HINDZINC,13438627.08
IRFC,12983560.71
BRITANNIA,12858633.55
PFC,12626189.33
INDUSINDBK,12435548.72
TECHM,12421247.99
BANKBARODA,11951018.00
ADANIENSOL,11665264.73
GODREJCP,11570143.56
INDIGO,11451378.19
EICHERMOT,11343887.84
RECLTD,10871265.28
ATGL,10865573.71
TRENT,10859964.19
ZOMATO,10775402.68
GAIL,10658236.52
TATAPOWER,10613320.31
CHOLAFIN,10577709.89
PNB,10543047.40
DIVISLAB,10363627.89
AMBUJACEM,10343226.00
SHREECEM,10338324.97
TATACONSUM,10096498.61
CIPLA,10062008.01
ABB,9906398.67
DABUR,9873789.66
LODHA,9871487.55
BPCL,9775737.49
DRREDDY,9671442.03
TVSMOTOR,9624314.76
VEDL,9610836.73
UNIONBANK,8828225.83
HAVELLS,8572710.51
BAJAJHLDNG,8541331.72
HEROMOTOCO,8274428.64
POLYCAB,8236220.52
APOLLOHOSP,8201620.62
IOB,8184744.51
MCDOWELL-N,8129964.16
MANKIND,7941665.82
CANBK,7936819.85
TORNTPHARM,7803028.84
IDEA,7788750.27
SHRIRAMFIN,7710994.50
ICICIPRULI,7702120.53
JINDALSTEL,7631279.05
SRF,7349112.47
IDBI,7247119.07
SBICARD,7221762.14
IRCTC,7100000.00
MARICO,7096677.34
BERGEPAINT,7048447.27
ICICIGI,6989615.65
ZYDUSLIFE,6976110.93
CGPOWER,6939976.65
MOTHERSON,6908561.58
COLPAL,6880420.58
TIINDIA,6848575.55
HDFCAMC,6842162.20
BHEL,6739533.62
JSWENERGY,6727545.82
MAXHEALTH,6669156.17
NAUKRI,6650537.84
BOSCHLTD,6548708.84
NHPC,6489092.48
AUROPHARMA,6351574.52
IDFCFIRSTB,6277712.79
INDHOTEL,6226324.90
ALKEM,6220488.69
YESBANK,6168929.94
NMDC,6144015.16
